dataset,publishTime,startTime,settlementDate,settlementPeriod,fuelType,generation
FUELHH,2024-02-01T00:00:00Z,2024-01-31T23:30:00Z,2024-01-31,48,WIND,14355
FUELHH,2024-01-31T23:30:00Z,2024-01-31T23:00:00Z,2024-01-31,47,WIND,14595
FUELHH,2024-01-31T23:00:00Z,2024-01-31T22:30:00Z,2024-01-31,46,WIND,14908
FUELHH,2024-01-31T22:30:00Z,2024-01-31T22:00:00Z,2024-01-31,45,WIND,15490
FUELHH,2024-01-31T22:00:00Z,2024-01-31T21:30:00Z,2024-01-31,44,WIND,15719
FUELHH,2024-01-31T21:30:00Z,2024-01-31T21:00:00Z,2024-01-31,43,WIND,15757
FUELHH,2024-01-31T21:00:00Z,2024-01-31T20:30:00Z,2024-01-31,42,WIND,15827
FUELHH,2024-01-31T20:30:00Z,2024-01-31T20:00:00Z,2024-01-31,41,WIND,15684
FUELHH,2024-01-31T20:00:00Z,2024-01-31T19:30:00Z,2024-01-31,40,WIND,15661
FUELHH,2024-01-31T19:30:00Z,2024-01-31T19:00:00Z,2024-01-31,39,WIND,15812
FUELHH,2024-01-31T19:00:00Z,2024-01-31T18:30:00Z,2024-01-31,38,WIND,15736
FUELHH,2024-01-31T18:30:00Z,2024-01-31T18:00:00Z,2024-01-31,37,WIND,15411
FUELHH,2024-01-31T18:00:00Z,2024-01-31T17:30:00Z,2024-01-31,36,WIND,15654
FUELHH,2024-01-31T17:30:00Z,2024-01-31T17:00:00Z,2024-01-31,35,WIND,15683
FUELHH,2024-01-31T17:00:00Z,2024-01-31T16:30:00Z,2024-01-31,34,WIND,15544
FUELHH,2024-01-31T16:30:00Z,2024-01-31T16:00:00Z,2024-01-31,33,WIND,15762
FUELHH,2024-01-31T16:00:00Z,2024-01-31T15:30:00Z,2024-01-31,32,WIND,15865
FUELHH,2024-01-31T15:30:00Z,2024-01-31T15:00:00Z,2024-01-31,31,WIND,15911
FUELHH,2024-01-31T15:00:00Z,2024-01-31T14:30:00Z,2024-01-31,30,WIND,15691
FUELHH,2024-01-31T14:30:00Z,2024-01-31T14:00:00Z,2024-01-31,29,WIND,15818
FUELHH,2024-01-31T14:00:00Z,2024-01-31T13:30:00Z,2024-01-31,28,WIND,15868
FUELHH,2024-01-31T13:30:00Z,2024-01-31T13:00:00Z,2024-01-31,27,WIND,15997
FUELHH,2024-01-31T13:00:00Z,2024-01-31T12:30:00Z,2024-01-31,26,WIND,15701
FUELHH,2024-01-31T12:30:00Z,2024-01-31T12:00:00Z,2024-01-31,25,WIND,15177
FUELHH,2024-01-31T12:00:00Z,2024-01-31T11:30:00Z,2024-01-31,24,WIND,14739
FUELHH,2024-01-31T11:30:00Z,2024-01-31T11:00:00Z,2024-01-31,23,WIND,14352
FUELHH,2024-01-31T11:00:00Z,2024-01-31T10:30:00Z,2024-01-31,22,WIND,14245
FUELHH,2024-01-31T10:30:00Z,2024-01-31T10:00:00Z,2024-01-31,21,WIND,14183
FUELHH,2024-01-31T10:00:00Z,2024-01-31T09:30:00Z,2024-01-31,20,WIND,13602
FUELHH,2024-01-31T09:30:00Z,2024-01-31T09:00:00Z,2024-01-31,19,WIND,13747
FUELHH,2024-01-31T09:00:00Z,2024-01-31T08:30:00Z,2024-01-31,18,WIND,13321
FUELHH,2024-01-31T08:30:00Z,2024-01-31T08:00:00Z,2024-01-31,17,WIND,12836
FUELHH,2024-01-31T08:00:00Z,2024-01-31T07:30:00Z,2024-01-31,16,WIND,12411
FUELHH,2024-01-31T07:30:00Z,2024-01-31T07:00:00Z,2024-01-31,15,WIND,11728
FUELHH,2024-01-31T07:00:00Z,2024-01-31T06:30:00Z,2024-01-31,14,WIND,11156
FUELHH,2024-01-31T06:30:00Z,2024-01-31T06:00:00Z,2024-01-31,13,WIND,10509
FUELHH,2024-01-31T06:00:00Z,2024-01-31T05:30:00Z,2024-01-31,12,WIND,10010
FUELHH,2024-01-31T05:30:00Z,2024-01-31T05:00:00Z,2024-01-31,11,WIND,9519
FUELHH,2024-01-31T05:00:00Z,2024-01-31T04:30:00Z,2024-01-31,10,WIND,8908
FUELHH,2024-01-31T04:30:00Z,2024-01-31T04:00:00Z,2024-01-31,9,WIND,8687
FUELHH,2024-01-31T04:00:00Z,2024-01-31T03:30:00Z,2024-01-31,8,WIND,8432
FUELHH,2024-01-31T03:30:00Z,2024-01-31T03:00:00Z,2024-01-31,7,WIND,8175
FUELHH,2024-01-31T03:00:00Z,2024-01-31T02:30:00Z,2024-01-31,6,WIND,7964
FUELHH,2024-01-31T02:30:00Z,2024-01-31T02:00:00Z,2024-01-31,5,WIND,7463
FUELHH,2024-01-31T02:00:00Z,2024-01-31T01:30:00Z,2024-01-31,4,WIND,7371
FUELHH,2024-01-31T01:30:00Z,2024-01-31T01:00:00Z,2024-01-31,3,WIND,7248
FUELHH,2024-01-31T01:00:00Z,2024-01-31T00:30:00Z,2024-01-31,2,WIND,7207
FUELHH,2024-01-31T00:30:00Z,2024-01-31T00:00:00Z,2024-01-31,1,WIND,7009
FUELHH,2024-01-31T00:00:00Z,2024-01-30T23:30:00Z,2024-01-30,48,WIND,7049
FUELHH,2024-01-30T23:30:00Z,2024-01-30T23:00:00Z,2024-01-30,47,WIND,7592
FUELHH,2024-01-30T23:00:00Z,2024-01-30T22:30:00Z,2024-01-30,46,WIND,7688
FUELHH,2024-01-30T22:30:00Z,2024-01-30T22:00:00Z,2024-01-30,45,WIND,7214
FUELHH,2024-01-30T22:00:00Z,2024-01-30T21:30:00Z,2024-01-30,44,WIND,7247
FUELHH,2024-01-30T21:30:00Z,2024-01-30T21:00:00Z,2024-01-30,43,WIND,7217
FUELHH,2024-01-30T21:00:00Z,2024-01-30T20:30:00Z,2024-01-30,42,WIND,6700
FUELHH,2024-01-30T20:30:00Z,2024-01-30T20:00:00Z,2024-01-30,41,WIND,6622
FUELHH,2024-01-30T20:00:00Z,2024-01-30T19:30:00Z,2024-01-30,40,WIND,6509
FUELHH,2024-01-30T19:30:00Z,2024-01-30T19:00:00Z,2024-01-30,39,WIND,6415
FUELHH,2024-01-30T19:00:00Z,2024-01-30T18:30:00Z,2024-01-30,38,WIND,6483
FUELHH,2024-01-30T18:30:00Z,2024-01-30T18:00:00Z,2024-01-30,37,WIND,6626
FUELHH,2024-01-30T18:00:00Z,2024-01-30T17:30:00Z,2024-01-30,36,WIND,7008
FUELHH,2024-01-30T17:30:00Z,2024-01-30T17:00:00Z,2024-01-30,35,WIND,7193
FUELHH,2024-01-30T17:00:00Z,2024-01-30T16:30:00Z,2024-01-30,34,WIND,7238
FUELHH,2024-01-30T16:30:00Z,2024-01-30T16:00:00Z,2024-01-30,33,WIND,7604
FUELHH,2024-01-30T16:00:00Z,2024-01-30T15:30:00Z,2024-01-30,32,WIND,7826
FUELHH,2024-01-30T15:30:00Z,2024-01-30T15:00:00Z,2024-01-30,31,WIND,7823
FUELHH,2024-01-30T15:00:00Z,2024-01-30T14:30:00Z,2024-01-30,30,WIND,8149
FUELHH,2024-01-30T14:30:00Z,2024-01-30T14:00:00Z,2024-01-30,29,WIND,8626
FUELHH,2024-01-30T14:00:00Z,2024-01-30T13:30:00Z,2024-01-30,28,WIND,8412
FUELHH,2024-01-30T13:30:00Z,2024-01-30T13:00:00Z,2024-01-30,27,WIND,8442
FUELHH,2024-01-30T13:00:00Z,2024-01-30T12:30:00Z,2024-01-30,26,WIND,8437
FUELHH,2024-01-30T12:30:00Z,2024-01-30T12:00:00Z,2024-01-30,25,WIND,8628
FUELHH,2024-01-30T12:00:00Z,2024-01-30T11:30:00Z,2024-01-30,24,WIND,9283
FUELHH,2024-01-30T11:30:00Z,2024-01-30T11:00:00Z,2024-01-30,23,WIND,9565
FUELHH,2024-01-30T11:00:00Z,2024-01-30T10:30:00Z,2024-01-30,22,WIND,9243
FUELHH,2024-01-30T10:30:00Z,2024-01-30T10:00:00Z,2024-01-30,21,WIND,9066
FUELHH,2024-01-30T10:00:00Z,2024-01-30T09:30:00Z,2024-01-30,20,WIND,9069
FUELHH,2024-01-30T09:30:00Z,2024-01-30T09:00:00Z,2024-01-30,19,WIND,9195
FUELHH,2024-01-30T09:00:00Z,2024-01-30T08:30:00Z,2024-01-30,18,WIND,9438
FUELHH,2024-01-30T08:30:00Z,2024-01-30T08:00:00Z,2024-01-30,17,WIND,9672
FUELHH,2024-01-30T08:00:00Z,2024-01-30T07:30:00Z,2024-01-30,16,WIND,9934
FUELHH,2024-01-30T07:30:00Z,2024-01-30T07:00:00Z,2024-01-30,15,WIND,10107
FUELHH,2024-01-30T07:00:00Z,2024-01-30T06:30:00Z,2024-01-30,14,WIND,10197
FUELHH,2024-01-30T06:30:00Z,2024-01-30T06:00:00Z,2024-01-30,13,WIND,10215
FUELHH,2024-01-30T06:00:00Z,2024-01-30T05:30:00Z,2024-01-30,12,WIND,10233
FUELHH,2024-01-30T05:30:00Z,2024-01-30T05:00:00Z,2024-01-30,11,WIND,10076
FUELHH,2024-01-30T05:00:00Z,2024-01-30T04:30:00Z,2024-01-30,10,WIND,10038
FUELHH,2024-01-30T04:30:00Z,2024-01-30T04:00:00Z,2024-01-30,9,WIND,10203
FUELHH,2024-01-30T04:00:00Z,2024-01-30T03:30:00Z,2024-01-30,8,WIND,10407
FUELHH,2024-01-30T03:30:00Z,2024-01-30T03:00:00Z,2024-01-30,7,WIND,10370
FUELHH,2024-01-30T03:00:00Z,2024-01-30T02:30:00Z,2024-01-30,6,WIND,10203
FUELHH,2024-01-30T02:30:00Z,2024-01-30T02:00:00Z,2024-01-30,5,WIND,10237
FUELHH,2024-01-30T02:00:00Z,2024-01-30T01:30:00Z,2024-01-30,4,WIND,10064
FUELHH,2024-01-30T01:30:00Z,2024-01-30T01:00:00Z,2024-01-30,3,WIND,9883
FUELHH,2024-01-30T01:00:00Z,2024-01-30T00:30:00Z,2024-01-30,2,WIND,9551
FUELHH,2024-01-30T00:30:00Z,2024-01-30T00:00:00Z,2024-01-30,1,WIND,9135
FUELHH,2024-01-30T00:00:00Z,2024-01-29T23:30:00Z,2024-01-29,48,WIND,9021
FUELHH,2024-01-29T23:30:00Z,2024-01-29T23:00:00Z,2024-01-29,47,WIND,8699
FUELHH,2024-01-29T23:00:00Z,2024-01-29T22:30:00Z,2024-01-29,46,WIND,8784
FUELHH,2024-01-29T22:30:00Z,2024-01-29T22:00:00Z,2024-01-29,45,WIND,8875
FUELHH,2024-01-29T22:00:00Z,2024-01-29T21:30:00Z,2024-01-29,44,WIND,8994
FUELHH,2024-01-29T21:30:00Z,2024-01-29T21:00:00Z,2024-01-29,43,WIND,9077
FUELHH,2024-01-29T21:00:00Z,2024-01-29T20:30:00Z,2024-01-29,42,WIND,9171
FUELHH,2024-01-29T20:30:00Z,2024-01-29T20:00:00Z,2024-01-29,41,WIND,9178
FUELHH,2024-01-29T20:00:00Z,2024-01-29T19:30:00Z,2024-01-29,40,WIND,9221
FUELHH,2024-01-29T19:30:00Z,2024-01-29T19:00:00Z,2024-01-29,39,WIND,9019
FUELHH,2024-01-29T19:00:00Z,2024-01-29T18:30:00Z,2024-01-29,38,WIND,8669
FUELHH,2024-01-29T18:30:00Z,2024-01-29T18:00:00Z,2024-01-29,37,WIND,8035
FUELHH,2024-01-29T18:00:00Z,2024-01-29T17:30:00Z,2024-01-29,36,WIND,7538
FUELHH,2024-01-29T17:30:00Z,2024-01-29T17:00:00Z,2024-01-29,35,WIND,7372
FUELHH,2024-01-29T17:00:00Z,2024-01-29T16:30:00Z,2024-01-29,34,WIND,6769
FUELHH,2024-01-29T16:30:00Z,2024-01-29T16:00:00Z,2024-01-29,33,WIND,5949
FUELHH,2024-01-29T16:00:00Z,2024-01-29T15:30:00Z,2024-01-29,32,WIND,5053
FUELHH,2024-01-29T15:30:00Z,2024-01-29T15:00:00Z,2024-01-29,31,WIND,4342
FUELHH,2024-01-29T15:00:00Z,2024-01-29T14:30:00Z,2024-01-29,30,WIND,3948
FUELHH,2024-01-29T14:30:00Z,2024-01-29T14:00:00Z,2024-01-29,29,WIND,3761
FUELHH,2024-01-29T14:00:00Z,2024-01-29T13:30:00Z,2024-01-29,28,WIND,3405
FUELHH,2024-01-29T13:30:00Z,2024-01-29T13:00:00Z,2024-01-29,27,WIND,3078
FUELHH,2024-01-29T13:00:00Z,2024-01-29T12:30:00Z,2024-01-29,26,WIND,3004
FUELHH,2024-01-29T12:30:00Z,2024-01-29T12:00:00Z,2024-01-29,25,WIND,2918
FUELHH,2024-01-29T12:00:00Z,2024-01-29T11:30:00Z,2024-01-29,24,WIND,3321
FUELHH,2024-01-29T11:30:00Z,2024-01-29T11:00:00Z,2024-01-29,23,WIND,3669
FUELHH,2024-01-29T11:00:00Z,2024-01-29T10:30:00Z,2024-01-29,22,WIND,3493
FUELHH,2024-01-29T10:30:00Z,2024-01-29T10:00:00Z,2024-01-29,21,WIND,3337
FUELHH,2024-01-29T10:00:00Z,2024-01-29T09:30:00Z,2024-01-29,20,WIND,3582
FUELHH,2024-01-29T09:30:00Z,2024-01-29T09:00:00Z,2024-01-29,19,WIND,3928
FUELHH,2024-01-29T09:00:00Z,2024-01-29T08:30:00Z,2024-01-29,18,WIND,3880
FUELHH,2024-01-29T08:30:00Z,2024-01-29T08:00:00Z,2024-01-29,17,WIND,3909
FUELHH,2024-01-29T08:00:00Z,2024-01-29T07:30:00Z,2024-01-29,16,WIND,3996
FUELHH,2024-01-29T07:30:00Z,2024-01-29T07:00:00Z,2024-01-29,15,WIND,4031
FUELHH,2024-01-29T07:00:00Z,2024-01-29T06:30:00Z,2024-01-29,14,WIND,3748
FUELHH,2024-01-29T06:30:00Z,2024-01-29T06:00:00Z,2024-01-29,13,WIND,3626
FUELHH,2024-01-29T06:00:00Z,2024-01-29T05:30:00Z,2024-01-29,12,WIND,3754
FUELHH,2024-01-29T05:30:00Z,2024-01-29T05:00:00Z,2024-01-29,11,WIND,3962
FUELHH,2024-01-29T05:00:00Z,2024-01-29T04:30:00Z,2024-01-29,10,WIND,4145
FUELHH,2024-01-29T04:30:00Z,2024-01-29T04:00:00Z,2024-01-29,9,WIND,4336
FUELHH,2024-01-29T04:00:00Z,2024-01-29T03:30:00Z,2024-01-29,8,WIND,4809
FUELHH,2024-01-29T03:30:00Z,2024-01-29T03:00:00Z,2024-01-29,7,WIND,5568
FUELHH,2024-01-29T03:00:00Z,2024-01-29T02:30:00Z,2024-01-29,6,WIND,5889
FUELHH,2024-01-29T02:30:00Z,2024-01-29T02:00:00Z,2024-01-29,5,WIND,6149
FUELHH,2024-01-29T02:00:00Z,2024-01-29T01:30:00Z,2024-01-29,4,WIND,6853
FUELHH,2024-01-29T01:30:00Z,2024-01-29T01:00:00Z,2024-01-29,3,WIND,7980
FUELHH,2024-01-29T01:00:00Z,2024-01-29T00:30:00Z,2024-01-29,2,WIND,8765
FUELHH,2024-01-29T00:30:00Z,2024-01-29T00:00:00Z,2024-01-29,1,WIND,9682
FUELHH,2024-01-29T00:00:00Z,2024-01-28T23:30:00Z,2024-01-28,48,WIND,9898
FUELHH,2024-01-28T23:30:00Z,2024-01-28T23:00:00Z,2024-01-28,47,WIND,10198
FUELHH,2024-01-28T23:00:00Z,2024-01-28T22:30:00Z,2024-01-28,46,WIND,10969
FUELHH,2024-01-28T22:30:00Z,2024-01-28T22:00:00Z,2024-01-28,45,WIND,11484
FUELHH,2024-01-28T22:00:00Z,2024-01-28T21:30:00Z,2024-01-28,44,WIND,11717
FUELHH,2024-01-28T21:30:00Z,2024-01-28T21:00:00Z,2024-01-28,43,WIND,12151
FUELHH,2024-01-28T21:00:00Z,2024-01-28T20:30:00Z,2024-01-28,42,WIND,12400
FUELHH,2024-01-28T20:30:00Z,2024-01-28T20:00:00Z,2024-01-28,41,WIND,12878
FUELHH,2024-01-28T20:00:00Z,2024-01-28T19:30:00Z,2024-01-28,40,WIND,13162
FUELHH,2024-01-28T19:30:00Z,2024-01-28T19:00:00Z,2024-01-28,39,WIND,13632
FUELHH,2024-01-28T19:00:00Z,2024-01-28T18:30:00Z,2024-01-28,38,WIND,14047
FUELHH,2024-01-28T18:30:00Z,2024-01-28T18:00:00Z,2024-01-28,37,WIND,14262
FUELHH,2024-01-28T18:00:00Z,2024-01-28T17:30:00Z,2024-01-28,36,WIND,14439
FUELHH,2024-01-28T17:30:00Z,2024-01-28T17:00:00Z,2024-01-28,35,WIND,14255
FUELHH,2024-01-28T17:00:00Z,2024-01-28T16:30:00Z,2024-01-28,34,WIND,13931
FUELHH,2024-01-28T16:30:00Z,2024-01-28T16:00:00Z,2024-01-28,33,WIND,13866
FUELHH,2024-01-28T16:00:00Z,2024-01-28T15:30:00Z,2024-01-28,32,WIND,13519
FUELHH,2024-01-28T15:30:00Z,2024-01-28T15:00:00Z,2024-01-28,31,WIND,13272
FUELHH,2024-01-28T15:00:00Z,2024-01-28T14:30:00Z,2024-01-28,30,WIND,13332
FUELHH,2024-01-28T14:30:00Z,2024-01-28T14:00:00Z,2024-01-28,29,WIND,13270
FUELHH,2024-01-28T14:00:00Z,2024-01-28T13:30:00Z,2024-01-28,28,WIND,13316
FUELHH,2024-01-28T13:30:00Z,2024-01-28T13:00:00Z,2024-01-28,27,WIND,13513
